flight,tail_number,long,lat,alt,manufacturer,model,reg_expiration,reg_owner,reg_city,reg_state,squawk,mph,spotted
SKW4768,N909SW,-118.235,34.3818,24175,BOMBARDIER INC,CL-600-2B19,7/31/24,SKYWEST AIRLINES INC,SAINT GEORGE,UTAH,1332,460,11/10/22 17:00
N410GS,N410GS,-118.089,34.6497,39850,DASSAULT,FALCON 2000EX,10/31/24,US BANK NA ACTING THROUGH,PORTLAND,OREGON,3363,523,11/10/22 17:00
0,N72NG,-118.089,34.4584,9550,TEXTRON AVIATION INC,B300,5/31/25,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,CALIFORNIA,4615,216,11/10/22 17:00
JSX111,N254JX,-118.304,34.5763,7950,EMBRAER,EMB-135LR,10/31/25,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,4610,460,11/10/22 17:00
N59WG,N59WG,-118.134,34.5396,32500,CESSNA,525B,3/31/25,ROCKLEDGE LLC,SALEM,OREGON,675,467,11/10/22 17:00
N622D,N622D,-118.057,34.6162,11375,BOMBARDIER INC,CL-600-2B16,3/31/24,DANFORTH LLC,COLUMBUS,OHIO,2761,368,11/10/22 17:00
SWA814,N957WN,-118.723,34.4859,22375,BOEING,737-7H4,6/30/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,5777,460,11/10/22 17:10
N767CW,N767CW,-118.01,34.6381,12175,GULFSTREAM AEROSPACE,G-V,7/31/25,N767CW LLC,CAMDEN,DELAWARE,4736,407,11/10/22 17:10
N280CC,N280CC,-118.515,34.7899,41925,IAI LTD,GULFSTREAM G280,3/31/25,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UTAH,6617,548,11/10/22 17:10
JAS685,N685DC,-117.727,34.5954,29075,DASSAULT AVIATION,FALCON 7X,4/30/24,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UTAH,1076,525,11/10/22 17:10
SKW3286,N505SY,-118.106,34.6442,34975,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,9/30/24,SKYWEST AIRLINES INC,SAINT GEORGE,UTAH,5770,488,11/10/22 17:10
EJA536,N536QS,-118.212,34.7425,38875,TEXTRON AVIATION INC,680A,9/30/25,NETJETS SALES INC,COLUMBUS,OHIO,7753,504,11/10/22 17:10
SWA709,N919WN,-117.756,34.4907,16400,BOEING,737-7H4,8/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,6331,419,11/10/22 17:10
N747KE,N747KE,-117.835,34.1558,41850,CESSNA,525B,5/31/24,VPS CJ3 LLC,YUMA,ARIZONA,3334,474,11/10/22 17:10
SWA2718,N280WN,-118.193,34.4084,20400,BOEING,737-7H4,8/31/23,SOUTHWEST AIRLINES CO,DALLAS,TEXAS,4627,460,11/10/22 17:20
SKW5703,N854AS,-118.228,34.7108,24000,BOMBARDIER INC,CL-600-2B19,12/31/23,SKYWEST AIRLINES INC,ST. GEORGE,UTAH,1731,518,11/10/22 17:20
SWA1121,N7852A,-117.991,34.3544,21625,BOEING,737-71B,10/31/25,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DELAWARE,,460,11/10/22 17:20
UAL821,N402UA,-118.443,34.6164,33850,AIRBUS INDUSTRIE,A320-232,6/30/23,UNITED AIRLINES INC,CHICAGO,ILLINOIS,6336,527,11/10/22 17:20
N5193T,N5193T,-118.134,34.5986,7850,CESSNA,TR182,10/31/24,DERSAHAKIAN HARMIK,PORTER RANCH,CALIFORNIA,4107,460,11/10/22 17:20
